search_place,station,brand,street,city_state_zip,regular_price,regular_price_date,regular_price_time,diesel_price,diesel_price_date,diesel_price_time,services
Dublin,WEIS MARKETS,Gas N Go (Weis),431 W DUBLIN PIKE,"Perkasie, PA",$4.359,May 09,12:55 PM,$5.799,May 08,01:23 PM,
Dublin,JOES KWIK MARTS #1048,Joes Kwik Mart,515 DUBLIN PIKE,"Perkasie , PA",$4.449,May 10,07:54 AM,$5.799,May 08,06:28 PM,"Bio-Fuels, Convenience Store/Grocery Store"
Dublin,US GAS,Unbranded,401 E WALNUT ST,"Perkasie , PA",$4.459,May 08,,,,,Repairs
Dublin,Shell,Shell,6816 EASTON RD,"Pipersville, PA",$4.479,May 09,02:45 PM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Dublin,WAWA #8139,Wawa,320 W ROUTE 313,"Perkasie , PA",$4.499,May 10,06:16 AM,$5.799,May 09,04:00 PM,"Open 24 Hours, Convenience Store/Grocery Store"
Dublin,STANS STOP,Unbranded,501 ROUTE 313,"Perkasie , PA",$4.499,May 09,10:32 AM,,,,"Bio-Fuels, Convenience Store/Grocery Store"
Dublin,SHELL,Shell,4247 W SWAMP RD,"Doylestown, PA",$4.559,May 09,10:13 PM,$5.899,May 09,07:52 AM,"Bio-Fuels, Convenience Store/Grocery Store"
Dublin,WAWA #288,Wawa,5854 EASTON RD,"Pipersville, PA",$4.579,May 09,05:05 PM,$5.859,May 09,05:14 PM,"Open 24 Hours, Restaurant/Deli/Fast Food, Convenience Store/Grocery Store"
Dublin,N EASTON RD BP,BP,3611 N EASTON RD,"Doylestown , PA",$4.579,May 09,02:42 PM,,,,Convenience Store/Grocery Store
Dublin,Sunoco,Sunoco,112 N MAIN ST,"Dublin , PA",$4.599,May 09,01:36 PM,,,,
Dublin,LIBERTY,Liberty,1019 N EASTON RD,"Doylestown , PA",$4.599,May 09,09:51 AM,$5.859,May 09,01:38 PM,"Bio-Fuels, Repairs"
Dublin,WAWA #8096,Wawa,3659 N EASTON RD,"Doylestown, PA",$4.599,May 09,08:59 PM,$5.899,May 09,04:00 PM,Convenience Store/Grocery Store
Dublin,SUNOCO,Sunoco,610 N MAIN ST,"Doylestown , PA",$4.699,May 09,07:16 PM,$5.999,May 08,04:23 PM,"Bio-Fuels, Convenience Store/Grocery Store"
